East_m,North_m,Step,Timestamp_ms,Heading_Degrees
-9.556029159032377,16.270601940342242,41.0,1740465126413,13.982234000000005
-9.457392843636802,16.58551601955304,41.5,1740465126673,17.391421999999977
-9.370246265441013,16.90380122798844,42.0,1740465126873,15.312325499999986
-9.305777293454286,17.22744262158786,42.5,1740465127216,11.265784999999994
-9.233193952301113,17.549361335842004,43.0,1740465127514,12.706068000000016
-9.165911275275581,17.872429504147515,43.5,1740465127754,11.764346999999987
-9.133365606251852,18.200820702914775,44.0,1740465128014,5.659896000000003
-9.115803170003506,18.53035303946617,44.5,1740465128278,3.0506942000000095
-9.058701741898966,18.855375233952056,45.0,1740465128573,9.964306000000022
-8.97686984912092,19.17506811989787,45.5,1740465128833,14.357740999999976
-8.902745842967832,19.496635580490224,46.0,1740465129073,12.980428000000018
