step,ground_x,ground_y
57.8,836556.2170300379,818629.4944735357
59.150000000000006,836556.4519298979,818630.3325760439
60.5,836556.6868297578,818631.170678552
60.675,836556.5469154664,818631.2428072545
60.85,836556.407001175,818631.3149359572
61.025,836556.2670868837,818631.3870646597
61.2,836556.1271725923,818631.4591933623
61.375,836555.9872583009,818631.5313220648
61.55,836555.8473440096,818631.6034507675
61.725,836555.7074297182,818631.67557947
61.9,836555.5675154268,818631.7477081725
62.075,836555.4276011355,818631.8198368752
62.25,836555.2876868441,818631.8919655777
62.425,836555.1477725527,818631.9640942803
62.6,836555.0078582613,818632.0362229829
62.775,836554.8679439699,818632.1083516855
62.95,836554.7280296786,818632.180480388
63.125,836554.5881153872,818632.2526090906
63.3,836554.4482010958,818632.3247377932
63.475,836554.3082868045,818632.3968664957
63.65,836554.1683725131,818632.4689951983
63.825,836554.0284582217,818632.5411239009
64.0,836553.8885439304,818632.6132526034
64.75,836553.9524456743,818633.0941293086
65.5,836554.0163474183,818633.5750060137
66.25,836554.0802491624,818634.0558827189
67.0,836554.1441509064,818634.5367594239
67.75,836554.2080526503,818635.017636129
68.5,836554.2719543943,818635.4985128342
69.25,836554.3358561383,818635.9793895393
70.0,836554.3997578823,818636.4602662445
70.75,836554.4636596263,818636.9411429496
71.5,836554.5275613703,818637.4220196547
72.25,836554.5914631143,818637.9028963598
73.0,836554.6553648582,818638.3837730649
73.75,836554.7192666023,818638.8646497701
74.5,836554.7831683463,818639.3455264752
75.25,836554.8470700902,818639.8264031804
76.0,836554.9109718342,818640.3072798855
76.75,836554.9748735782,818640.7881565905
77.5,836555.0387753223,818641.2690332957
78.25,836555.1026770662,818641.7499100008
79.0,836555.1665788102,818642.230786706
80.675,836554.2251839419,818642.5725343769
82.35,836553.2837890737,818642.9142820479
84.025,836552.3423942055,818643.2560297188
85.7,836551.4009993372,818643.5977773898
87.375,836550.4596044689,818643.9395250607
89.05,836549.5182096007,818644.2812727316
90.725,836548.5768147325,818644.6230204026
92.4,836547.6354198642,818644.9647680735
94.075,836546.6940249959,818645.3065157445
95.75,836545.7526301277,818645.6482634154
97.425,836544.8112352595,818645.9900110863
99.1,836543.8698403912,818646.3317587574
100.775,836542.9284455229,818646.6735064283
102.45,836541.9870506547,818647.0152540993
104.125,836541.0456557865,818647.3570017702
105.8,836540.1042609182,818647.6987494411
107.475,836539.1628660499,818648.0404971121
109.15,836538.2214711817,818648.382244783
110.825,836537.2800763135,818648.723992454
112.5,836536.3386814452,818649.0657401249
114.6,836536.687575585,818650.3950215458
116.7,836537.0364697246,818651.7243029668
118.8,836537.3853638644,818653.0535843878
120.9,836537.7342580041,818654.3828658087
123.0,836538.0831521438,818655.7121472297
125.1,836538.4320462835,818657.0414286506
127.2,836538.7809404233,818658.3707100715
129.3,836539.1298345629,818659.6999914926
131.4,836539.4787287026,818661.0292729135
133.5,836539.8276228423,818662.3585543344
135.6,836540.176516982,818663.6878357554
137.7,836540.5254111218,818665.0171171763
139.8,836540.8743052614,818666.3463985974
141.9,836541.2231994012,818667.6756800183
144.0,836541.5720935409,818669.0049614392
146.1,836541.9209876806,818670.3342428602
148.2,836542.2698818203,818671.6635242811
150.3,836542.61877596,818672.992805702
152.4,836542.9676700997,818674.3220871231
154.5,836543.3165642394,818675.651368544
