Quasi_Static_Interval_Number,Compass_Heading,Time,Step,Variance
1,4.490906,113.113,97.23505110471876,4.0
1,4.580261,113.122,97.24278775267207,4.0
1,4.8285217,113.135,97.25396291082684,4.0
1,4.3319397,113.143,97.26083993122978,4.0
1,3.5249329,113.152,97.26857657918309,4.0
1,3.5555725,113.162,97.27717285468677,4.0
1,4.2943115,113.172,97.28576913019045,4.0
1,4.4773865,113.182,97.29436540569412,4.0
1,4.520294,113.192,97.3029616811978,4.0
1,4.217407,113.202,97.31155795670146,4.0
1,4.565155,113.212,97.32015423220514,4.0
1,4.6038513,113.224,97.33046976280956,4.0
1,4.5387573,113.232,97.3373467832125,4.0
1,4.236328,113.242,97.34594305871617,4.0
1,4.89624,113.252,97.35453933421985,4.0
1,6.428589,113.262,97.36313560972351,4.0
1,7.5567627,113.272,97.37173188522719,4.0
1,8.006561,113.282,97.38032816073087,4.0
1,8.280762,113.292,97.38892443623455,4.0
1,9.027679,113.302,97.39752071173822,4.0
1,8.183716,113.312,97.4061169872419,4.0
1,6.9927673,113.322,97.41471326274556,4.0
1,6.5416565,113.332,97.42330953824924,4.0
1,7.2287903,113.342,97.43190581375292,4.0
1,8.049286,113.352,97.4405020892566,4.0
1,8.985657,113.362,97.44909836476027,4.0
1,9.805054,113.372,97.45769464026395,4.0
1,10.470001,113.384,97.46801017086835,4.0
1,9.522095,113.392,97.47488719127129,4.0
1,9.176392,113.402,97.48348346677497,4.0
1,9.020569,113.412,97.49207974227865,4.0
1,9.279755,113.422,97.50067601778233,4.0
1,9.419373,113.432,97.509272293286,4.0
1,10.389801,113.442,97.51786856878967,4.0
1,10.960419,113.452,97.52646484429334,4.0
1,11.294006,113.463,97.53592074734739,4.0
1,11.423798,113.472,97.5436573953007,4.0
1,11.055756,113.483,97.55311329835475,4.0
1,12.986359,113.494,97.56256920140878,4.0
1,14.880768,113.504,97.57116547691246,4.0
1,14.570007,113.513,97.57890212486576,4.0
1,12.218475,113.522,97.58663877281907,4.0
1,9.867096,113.532,97.59523504832275,4.0
1,7.940979,113.542,97.60383132382643,4.0
1,12.681244,113.552,97.61242759933009,4.0
1,14.435211,113.562,97.62102387483377,4.0
1,10.08197,113.572,97.62962015033744,4.0
1,10.181274,113.582,97.63821642584112,4.0
1,10.172974,113.592,97.6468127013448,4.0
1,9.8992,113.602,97.65540897684848,4.0
1,10.838074,113.612,97.66400525235214,4.0
1,11.713043,113.622,97.67260152785582,4.0
1,12.313202,113.632,97.6811978033595,4.0
1,12.212067,113.646,97.69323258906464,4.0
1,11.988739,113.653,97.69924998191722,4.0
1,11.283478,113.662,97.70698662987053,4.0
1,10.533264,113.672,97.71558290537419,4.0
1,9.724487,113.682,97.72417918087787,4.0
1,9.518555,113.692,97.73277545638155,4.0
1,9.670319,113.702,97.74137173188522,4.0
1,10.5286255,113.712,97.7499680073889,4.0
1,11.733765,113.722,97.75856428289258,4.0
1,12.5008545,113.732,97.76716055839624,4.0
1,13.252167,113.742,97.77575683389992,4.0
1,13.901886,113.752,97.7843531094036,4.0
1,14.498505,113.762,97.79294938490727,4.0
1,14.060211,113.772,97.80154566041095,4.0
1,13.097931,113.782,97.81014193591463,4.0
1,11.551422,113.792,97.81873821141829,4.0
1,9.591644,113.802,97.82733448692197,4.0
1,8.26709,113.812,97.83593076242565,4.0
1,7.5627747,113.822,97.84452703792932,4.0
1,7.722473,113.832,97.853123313433,4.0
1,8.518951,113.842,97.86171958893667,4.0
1,9.428741,113.852,97.87031586444034,4.0
1,10.863037,113.862,97.87891213994402,4.0
1,12.008942,113.872,97.8875084154477,4.0
1,12.4852295,113.882,97.89610469095138,4.0
1,12.39917,113.892,97.90470096645505,4.0
1,11.476135,113.902,97.91329724195872,4.0
1,10.173126,113.913,97.92275314501276,4.0
1,8.180634,113.923,97.93134942051644,4.0
1,6.193207,113.932,97.93908606846975,4.0
1,3.9942627,113.942,97.94768234397341,4.0
1,1.8673096,113.952,97.9562786194771,4.0
1,0.22018433,113.962,97.96487489498077,4.0
1,359.22873,113.972,97.97347117048444,4.0
1,359.0519,113.982,97.98206744598812,4.0
1,359.18826,113.993,97.99152334904217,4.0
1,359.33624,114.002,97.99925999699548,4.0
1,359.08646,114.012,98.00785627249915,4.0
1,358.2505,114.022,98.01645254800282,4.0
1,356.85864,114.032,98.0250488235065,4.0
1,355.42523,114.042,98.03364509901017,4.0
1,353.83014,114.052,98.04224137451385,4.0
1,352.47693,114.062,98.05083765001753,4.0
1,351.03094,114.072,98.0594339255212,4.0
1,350.0407,114.082,98.06803020102485,4.0
1,349.02454,114.092,98.07662647652855,4.0
1,348.75842,114.102,98.08522275203222,4.0
1,348.78284,114.112,98.09381902753589,4.0
1,349.07358,114.122,98.10241530303958,4.0
1,349.45712,114.132,98.11101157854324,4.0
1,349.4507,114.142,98.11960785404692,4.0
1,349.01904,114.152,98.1282041295506,4.0
1,348.02603,114.162,98.13680040505427,4.0
1,346.53668,114.172,98.14539668055795,4.0
1,344.70984,114.182,98.15399295606163,4.0
1,343.23486,114.192,98.16258923156528,4.0
1,342.12103,114.202,98.17118550706897,4.0
1,341.58084,114.212,98.17978178257265,4.0
1,341.06967,114.222,98.18837805807631,4.0
1,339.96906,114.232,98.19697433358,4.0
1,338.54852,114.242,98.20557060908368,4.0
1,336.6655,114.252,98.21416688458733,4.0
1,334.16843,114.262,98.22276316009102,4.0
1,331.9035,114.272,98.2313594355947,4.0
1,330.62488,114.282,98.23995571109837,4.0
1,330.24673,114.292,98.24855198660205,4.0
1,330.62653,114.302,98.25714826210573,4.0
1,331.3454,114.312,98.2657445376094,4.0
1,332.3923,114.322,98.27434081311307,4.0
1,333.66876,114.332,98.28293708861673,4.0
1,333.72598,114.342,98.29153336412043,4.0
1,333.6429,114.352,98.3001296396241,4.0
1,332.8902,114.364,98.3104451702285,4.0
1,331.02603,114.372,98.31732219063144,4.0
1,329.50082,114.382,98.32591846613512,4.0
1,328.36285,114.392,98.33451474163878,4.0
1,327.54074,114.402,98.34311101714248,4.0
1,326.82153,114.412,98.35170729264615,4.0
1,326.02237,114.422,98.3603035681498,4.0
1,325.8055,114.432,98.3688998436535,4.0
1,325.62885,114.442,98.37749611915716,4.0
1,325.42532,114.452,98.38609239466085,4.0
1,325.15927,114.462,98.39468867016453,4.0
1,324.33673,114.472,98.40328494566818,4.0
1,323.19858,114.484,98.41360047627259,4.0
1,321.91458,114.496,98.42391600687701,4.0
1,320.71503,114.503,98.42993339972959,4.0
1,320.06528,114.512,98.4376700476829,4.0
1,319.3768,114.522,98.44626632318658,4.0
1,318.7442,114.533,98.45572222624062,4.0
1,317.89087,114.542,98.46345887419392,4.0
1,317.3137,114.552,98.4720551496976,4.0
1,316.3704,114.562,98.48065142520126,4.0
1,315.8478,114.572,98.48924770070495,4.0
1,316.17654,114.582,98.49784397620861,4.0
1,316.60617,114.592,98.5064402517123,4.0
1,316.98285,114.603,98.51589615476632,4.0
1,317.48495,114.612,98.52363280271963,4.0
1,317.45642,114.622,98.53222907822332,4.0
1,316.60455,114.632,98.540825353727,4.0
1,315.0074,114.642,98.54942162923066,4.0
1,313.76376,114.652,98.55801790473436,4.0
1,312.73526,114.662,98.56661418023802,4.0
1,311.91125,114.672,98.57521045574168,4.0
1,311.11945,114.682,98.58380673124537,4.0
1,310.72464,114.692,98.59240300674904,4.0
1,310.59506,114.702,98.6009992822527,4.0
1,310.7438,114.712,98.6095955577564,4.0
1,310.6315,114.722,98.61819183326006,4.0
1,309.9562,114.733,98.62764773631412,4.0
1,309.1897,114.742,98.63538438426743,4.0
1,308.41782,114.752,98.64398065977109,4.0
1,307.86005,114.764,98.65429619037549,4.0
1,307.16562,114.772,98.66117321077844,4.0
1,306.60074,114.782,98.6697694862821,4.0
1,306.00494,114.792,98.6783657617858,4.0
1,305.4185,114.802,98.68696203728948,4.0
1,305.1655,114.812,98.69555831279314,4.0
1,304.8813,114.822,98.70415458829683,4.0
1,305.059,114.832,98.71275086380048,4.0
1,305.39648,114.843,98.72220676685454,4.0
1,305.2117,114.852,98.72994341480785,4.0
1,304.8967,114.862,98.73853969031151,4.0
1,304.3717,114.872,98.74713596581519,4.0
1,303.7313,114.882,98.75573224131888,4.0
1,303.1352,114.892,98.76432851682253,4.0
1,302.79968,114.902,98.77292479232622,4.0
1,302.62378,114.913,98.78238069538025,4.0
1,302.0596,114.923,98.79097697088395,4.0
1,301.32016,114.932,98.79871361883725,4.0
1,300.91266,114.942,98.8073098943409,4.0
1,300.03708,114.952,98.81590616984458,4.0
1,299.6096,114.962,98.82450244534827,4.0
1,299.23294,114.972,98.83309872085194,4.0
1,299.55716,114.982,98.84169499635561,4.0
1,299.71442,114.992,98.8502912718593,4.0
1,299.93484,115.003,98.85974717491332,4.0
1,299.78796,115.012,98.86748382286663,4.0
1,299.08368,115.022,98.87608009837032,4.0
1,298.38455,115.032,98.88467637387399,4.0
1,297.70288,115.042,98.89327264937768,4.0
1,296.76205,115.052,98.90186892488136,4.0
1,296.22217,115.062,98.910465200385,4.0
1,295.56735,115.072,98.9190614758887,4.0
1,295.7241,115.082,98.92765775139236,4.0
1,295.46466,115.093,98.93711365444642,4.0
1,295.0941,115.105,98.94742918505082,4.0
1,295.0383,115.112,98.95344657790338,4.0
1,295.77374,115.122,98.96204285340706,4.0
1,297.3576,115.132,98.97063912891075,4.0
1,300.2125,115.142,98.97923540441441,4.0
1,303.145,115.152,98.98783167991809,4.0
1,305.80237,115.162,98.99642795542178,4.0
1,306.5399,115.172,99.00502423092543,4.0
1,305.6411,115.182,99.01362050642912,4.0
1,303.42795,115.192,99.02221678193278,4.0
1,301.49954,115.202,99.03081305743646,4.0
1,297.59567,115.212,99.03940933294015,4.0
1,293.62222,115.222,99.04800560844382,4.0
1,289.88348,115.232,99.05660188394748,4.0
1,287.1743,115.242,99.06519815945117,4.0
1,285.9804,115.252,99.07379443495483,4.0
1,285.7126,115.262,99.08239071045851,4.0
1,286.09552,115.272,99.0909869859622,4.0
1,287.09372,115.282,99.09958326146587,4.0
1,288.4729,115.292,99.10817953696953,4.0
1,290.37247,115.302,99.11677581247322,4.0
1,292.5385,115.312,99.12537208797688,4.0
1,295.3076,115.322,99.13396836348056,4.0
1,297.49158,115.332,99.14256463898424,4.0
1,298.3701,115.342,99.1511609144879,4.0
1,297.73785,115.352,99.15975718999161,4.0
1,295.67975,115.362,99.16835346549526,4.0
1,293.5507,115.373,99.17780936854932,4.0
1,291.8888,115.382,99.18554601650263,4.0
1,290.54727,115.392,99.19414229200629,4.0
1,289.76526,115.402,99.20273856750995,4.0
1,288.96646,115.412,99.21133484301365,4.0
1,288.82822,115.422,99.21993111851731,4.0
1,289.1839,115.432,99.22852739402099,4.0
1,289.6352,115.442,99.23712366952466,4.0
1,290.2908,115.453,99.2465795725787,4.0
1,290.88156,115.462,99.254316220532,4.0
1,291.33298,115.472,99.26291249603568,4.0
1,292.01514,115.482,99.27150877153936,4.0
1,292.31564,115.492,99.28010504704305,4.0
1,291.68948,115.502,99.28870132254671,4.0
1,289.8559,115.512,99.29729759805039,4.0
1,287.80457,115.522,99.30589387355408,4.0
1,286.05884,115.533,99.3153497766081,4.0
1,285.0451,115.542,99.32308642456141,4.0
1,284.10654,115.555,99.33426158271621,4.0
1,284.2205,115.562,99.34027897556876,4.0
1,284.96405,115.572,99.34887525107244,4.0
1,285.87097,115.583,99.35833115412647,4.0
1,286.4154,115.592,99.36606780207978,4.0
1,286.39563,115.602,99.37466407758346,4.0
1,286.1269,115.612,99.38326035308714,4.0
1,285.4654,115.622,99.39185662859082,4.0
1,284.34995,115.636,99.40389141429596,4.0
1,283.5628,115.642,99.40904917959816,4.0
1,282.81757,115.652,99.41764545510183,4.0
1,282.1615,115.663,99.42710135815588,4.0
1,281.47748,115.672,99.43483800610919,4.0
1,280.81033,115.682,99.44343428161287,4.0
1,280.10757,115.692,99.45203055711653,4.0
1,279.3847,115.702,99.4606268326202,4.0
1,278.82187,115.712,99.46922310812388,4.0
1,278.12726,115.722,99.47781938362756,4.0
1,277.7496,115.732,99.48641565913124,4.0
1,277.97958,115.743,99.49587156218527,4.0
1,278.93454,115.752,99.50360821013858,4.0
1,280.67624,115.762,99.51220448564226,4.0
1,282.67584,115.772,99.52080076114594,4.0
1,283.50797,115.782,99.52939703664961,4.0
1,283.1892,115.793,99.53885293970367,4.0
1,282.62772,115.803,99.54744921520732,4.0
1,281.84976,115.812,99.55518586316063,4.0
1,281.1815,115.822,99.56378213866431,4.0
1,280.66647,115.832,99.57237841416799,4.0
1,280.32983,115.842,99.58097468967166,4.0
1,280.41058,115.852,99.58957096517534,4.0
1,280.8003,115.862,99.59816724067902,4.0
1,281.67706,115.872,99.60676351618268,4.0
1,282.58066,115.882,99.61535979168636,4.0
1,283.87225,115.892,99.62395606719004,4.0
1,284.97952,115.903,99.63341197024408,4.0
1,285.93408,115.912,99.64114861819739,4.0
1,286.35333,115.922,99.64974489370107,4.0
1,286.66806,115.932,99.65834116920473,4.0
1,286.59857,115.942,99.66693744470841,4.0
1,286.05667,115.952,99.67553372021209,4.0
1,285.81323,115.962,99.68412999571576,4.0
1,285.62888,115.972,99.69272627121944,4.0
1,285.16074,115.982,99.7013225467231,4.0
1,284.92386,115.992,99.70991882222678,4.0
1,284.419,116.002,99.71851509773046,4.0
1,284.17288,116.013,99.7279710007845,4.0
1,283.90753,116.022,99.73570764873782,4.0
1,283.86993,116.032,99.74430392424149,4.0
1,284.00067,116.042,99.75290019974516,4.0
1,284.02527,116.054,99.76321573034957,4.0
1,284.13626,116.063,99.77095237830288,4.0
1,284.4988,116.072,99.77868902625619,4.0
1,284.31757,116.082,99.78728530175987,4.0
1,283.94293,116.092,99.79588157726354,4.0
1,283.76938,116.102,99.8044778527672,4.0
1,283.5859,116.112,99.81307412827088,4.0
1,283.00687,116.122,99.82167040377456,4.0
1,282.16296,116.132,99.83026667927824,4.0
1,281.47522,116.143,99.83972258233229,4.0
1,281.26822,116.152,99.8474592302856,4.0
1,280.78992,116.162,99.85605550578926,4.0
1,280.8664,116.172,99.86465178129293,4.0
1,281.4674,116.182,99.87324805679661,4.0
1,281.99603,116.192,99.88184433230029,4.0
1,282.11264,116.202,99.89044060780397,4.0
1,281.6996,116.212,99.89903688330764,4.0
1,280.69696,116.223,99.90849278636168,4.0
1,279.49417,116.232,99.91622943431499,4.0
1,278.2115,116.243,99.92568533736903,4.0
1,277.65033,116.252,99.93342198532234,4.0
1,277.00455,116.262,99.94201826082602,4.0
1,276.7834,116.272,99.9506145363297,4.0
1,276.5527,116.282,99.95921081183336,4.0
1,276.8765,116.292,99.96780708733704,4.0
1,277.8683,116.303,99.97726299039108,4.0
1,280.13232,116.312,99.98499963834439,4.0
1,283.08838,116.322,99.99359591384807,4.0
1,286.44254,116.332,100.00219218935173,4.0
1,289.0324,116.342,100.01078846485541,4.0
1,291.01358,116.352,100.01938474035909,4.0
1,291.03333,116.362,100.02798101586276,4.0
1,288.68994,116.372,100.03657729136644,4.0
1,285.2308,116.382,100.04517356687012,4.0
1,281.7797,116.392,100.05376984237378,4.0
1,278.61194,116.402,100.06236611787746,4.0
1,275.95935,116.412,100.07096239338114,4.0
1,274.7241,116.422,100.07955866888481,4.0
1,274.08807,116.432,100.08815494438849,4.0
1,274.0363,116.442,100.09675121989217,4.0
1,274.8765,116.452,100.10534749539583,4.0
1,275.94717,116.462,100.11394377089951,4.0
1,277.29422,116.472,100.12254004640319,4.0
1,279.75815,116.484,100.1328555770076,4.0
1,281.58154,116.492,100.13973259741054,4.0
1,283.52896,116.503,100.14918850046458,4.0
1,284.49332,116.514,100.15864440351862,4.0
1,284.31302,116.522,100.16552142392156,4.0
