Timestamp_(ms),Step,Original_Heading,Corrected_Heading,East,North
1740465159983,77.0,13.58998,65.81815034799999,836556.3119545088,818638.423710207
1740465160268,77.5,12.562631,57.29282382159998,836556.0666938893,818639.4243921394
1740465160504,78.0,11.619615,49.05331265519999,836555.7279930512,818640.5449414479
1740465160883,78.5,16.30441,48.61850700879998,836555.3351134701,818641.7320078306
1740465161043,79.0,15.913516,40.937252242399985,836554.8405188144,818643.0325919612
1740465167327,79.5,-80.06394,278.0861085624,836555.3921442089,818641.8566882744
1740465167704,80.0,-76.71997,282.1053502088,836555.8969763768,818640.7806691851
1740465167923,80.5,-78.08934,279.8724174552,836556.3475323629,818639.7472651942
1740465168123,81.0,-78.750595,278.4967203016,836556.7480058899,818638.761041468
1740465168484,81.5,-78.97457,277.714870348,836557.1016160395,818637.8245040833
1740465168869,82.0,-73.5842,286.28857057999994,836557.427210386,818637.0159968837
1740465169063,82.5,-74.349365,284.7582405799999,836557.707464617,818636.246099835
1740465169443,83.0,-75.42181,282.61335058,836557.9434386295,818635.5071816988
1740465169644,83.5,-74.79457,283.8678305799999,836558.1439787886,818634.8263154434
1740465169924,84.0,-73.54805,286.36087058,836558.3140193328,818634.2119682176
1740465170164,84.5,-75.4489,282.55917058,836558.4410727753,818633.6084713606
1740465170425,85.0,-75.71803,282.02091057999996,836558.5340648697,818633.0419097948
1740465170745,85.5,-75.7096,282.0377705799999,836558.5955092863,818632.5153950324
1740465171103,86.0,-73.49786,286.46125057999996,836558.6363829817,818632.0650673233
1740465171323,86.5,-75.57944,282.29809058,836558.6392536754,818631.6159571258
1740465171685,87.0,-75.04965,283.35767058,836558.6165751967,818631.2114170775
1740465171883,87.5,-72.295616,288.86573857999997,836558.5809424369,818630.8877468364
1740465172290,88.0,-71.53987,290.37723057999995,836558.5244494212,818630.6095744902
1740465172424,88.5,-72.54852,288.35993057999997,836558.4377474813,818630.3463747073
1740465172803,89.0,-78.91154,275.63389057999996,836558.3044105355,818630.004158815
1740465173043,89.5,-77.77679,277.90339057999995,836558.1510481779,818629.7115989001
1740465173384,90.0,-77.77129,277.9143905799999,836557.9761810774,818629.4479773159
1740465173665,90.5,-80.70055,272.0558705799999,836557.7761167608,818629.1608268854
1740465173923,91.0,-80.88141,271.6941505799999,836557.5560107373,818628.8977278229
1740465174253,91.5,-77.35548,278.74601057999996,836557.3223467,818628.7231790803
1740465174484,92.0,-75.53246,282.39205057999993,836557.0760339105,818628.6062095704
1740465174783,92.5,-76.706245,280.04448058,836556.8077512364,818628.4942555579
1740465175048,93.0,-75.45376,282.54945058,836556.5264432547,818628.4288567856
1740465175344,93.5,-72.34964,288.7576905799999,836556.243098392,818628.4406608524
1740465175623,94.0,-71.31104,290.83489058,836555.9496300437,818628.493770179
1740465175863,94.5,-73.10982,287.23733057999993,836555.629908369,818628.5405634772
1740465176143,95.0,-76.85484,279.74729058,836555.2792798864,818628.54652452
1740465176443,95.5,-73.96841,285.52015057999995,836554.9246921103,818628.6254940368
1740465176665,96.0,-73.640976,286.1750185799999,836554.5569080948,818628.7331530536
1740465176964,96.5,-75.456726,282.54351857999995,836554.1666889855,818628.832778659
1740465177223,97.0,-77.8993,277.65837058,836553.754682797,818628.9129443775
1740465177503,97.5,-74.04736,285.3622505799999,836553.3422507134,818629.0827960101
1740465177763,98.0,-74.33112,284.79473057999996,836552.9147072743,818629.2709428569
1740465177943,98.5,-74.72676,284.00345057999994,836552.47177305,818629.4756024338
1740465178307,99.0,-75.4031,282.65077057999997,836552.0125523353,818629.6921231146
1740465178485,99.5,-72.60039,288.25619057999995,836551.5530758725,818629.9801073923
1740465178824,100.0,-71.08098,291.29501057999994,836551.089288981,818630.3174279942
1740465179023,100.5,-72.459015,288.5389405799999,836550.6038358784,818630.6563198806
1740465179384,101.0,-72.247375,288.9622205799999,836550.1061981821,818631.0236582564
1740465179683,101.5,-70.14228,293.1724105799999,836549.608493405,818631.4511095051
1740465179903,102.0,-70.25828,292.94041057999993,836549.0964710313,818631.902658586
1740465180123,102.5,-70.57924,292.2984905799999,836548.5686379313,818632.3755924526
1740465180483,103.0,-70.521866,292.41323858,836548.0274119144,818632.8767856244
1740465180764,103.5,-69.3554,294.7461705799999,836547.4804679508,818633.4249588449
1740465181007,104.0,-68.70775,296.0414705799999,836546.9242511159,818634.0124026078
1740465181205,104.5,-69.7556,293.94577057999993,836546.3457786337,818634.612913695
1740465181565,105.0,-72.48328,288.49041058,836545.735147038,818635.1993492692
1740465181863,105.5,-69.37034,275.38426252025744,836545.0855689197,818635.7046518855
1740465182130,106.0,-68.32783,276.5952884072391,836544.4216930801,818636.2536386523
1740465182409,106.5,-69.5373,273.28641653699754,836543.73948313,818636.8077782707
1740465182683,107.0,-71.36026,268.73462812267275,836543.0403050735,818637.3573077305
1740465182963,107.5,-68.08223,274.36891628161186,836542.3257323278,818637.9935604217
1740465183184,108.0,-66.06039,277.47498822253175,836541.5967234424,818638.695584491
1740465183503,108.5,-64.80418,279.03406739641434,836540.8518571005,818639.451310837
1740465183764,109.0,-60.752674,291.3998189507699,836540.1171610387,818640.3540078843
1740465184063,109.5,-53.77824,301.96830893715844,836539.4052268171,818641.3835662686
1740465184345,110.0,-53.436493,302.5351380511516,836538.6761521945,818642.4628223169
1740465184563,110.5,-53.010033,303.32263521582183,836537.9302907039,818643.5953983765
1740465185063,111.0,-47.173424,311.5567551154735,836537.2072370697,818644.8352992086
1740465185283,111.5,-35.473663,326.52251138873396,836536.5615040516,818646.2135015918
1740465185945,112.0,-3.1215687,7.637198336584343,836536.2390927274,818647.7254544112
1740465186323,112.5,4.6232452,20.85869945420484,836536.005511814,818649.2655188034
1740465190283,113.0,10.39556,32.30202893644828,836536.7334431945,818648.5535567888
1740465190623,113.5,9.011209,33.611052883121204,836537.4470589614,818647.8919171002
1740465190843,114.0,10.260261,38.7296875641172,836538.1742316316,818647.2575030118
1740465191205,114.5,13.815503,63.70132729461803,836539.0165906479,818646.5038136597
1740465191383,115.0,12.36664,59.67477522557748,836539.8211456375,818645.8303198974
1740465191743,115.5,8.170497,50.14404228330265,836540.5573364401,818645.2722028361
1740465191944,116.0,8.519279,49.69432475182124,836541.2718208873,818644.7614813093
1740465192264,116.5,10.16854,51.837557463044725,836541.9799531661,818644.27835497
1740465192504,117.0,8.431183,47.20041083808209,836542.6439464808,818643.8666493482
1740465192843,117.5,6.7533255,42.676018506854845,836543.2628341134,818643.5215490883
1740465193064,118.0,8.0561,44.10757453214056,836543.874781397,818643.2043478707
1740465193304,118.5,10.74895,48.31492127238797,836544.4969628755,818642.8952056195
1740465193583,119.0,10.150143,45.935570925424756,836545.0899732158,818642.6347366809
1740465193803,119.5,10.311335,45.07382980226028,836545.6633511749,818642.4114366592
1740465194143,120.0,9.887187,43.0400263863274,836546.2100583917,818642.2309163308
1740465194483,120.5,12.602838,47.28545223847764,836546.7699481804,818642.0527167186
1740465194663,121.0,11.866783,44.62811281167211,836547.3007330992,818641.918996116
1740465195004,121.5,12.553761,44.818498241454385,836547.8203650798,818641.8104627198
1740465195303,122.0,15.509864,49.549796178864206,836548.3564556947,818641.6964793561
1740465195584,122.5,17.007084,51.36698073144485,836548.8912027677,818641.5942120472
1740465195763,123.0,14.713948,45.608077575435274,836549.381029584,818641.5530744315
1740465196123,123.5,13.2934475,41.60001829822839,836549.8343271768,818641.5584130326
1740465196424,124.0,15.826316,45.50519102486303,836550.302021672,818641.5611135546
1740465196645,124.5,15.597668,43.89471437589731,836550.7492689764,818641.5940689523
1740465196984,125.0,11.056975,33.668385796712734,836551.1160906093,818641.7029533644
1740465197243,125.5,10.2826,30.98374729037357,836551.4529946153,818641.8431558505
1740465197483,126.0,12.572062,7.911438324675341,836551.589309389,818642.06866624
1740465197823,126.5,16.144396,15.05610632467534,836551.7779175999,818642.2988313574
1740465198004,127.0,15.279239,13.32579232467534,836551.9423288296,818642.5493098211
1740465198343,127.5,12.982815,8.73294432467534,836552.0576671684,818642.8235093609
1740465198543,128.0,13.182064,9.13144232467534,836552.1673209046,818643.1125577125
1740465198884,128.5,15.369614,13.50654232467534,836552.3057754281,818643.4088904198
1740465199083,129.0,14.477841,11.72299632467534,836552.4198162033,818643.7230429427
1740465199443,129.5,13.260282,9.28787832467534,836552.5036962966,818644.0550426391
1740465199663,130.0,13.387152,9.54161832467534,836552.5807828614,818644.4001818671
1740465199981,130.5,17.183659,17.134632324675337,836552.714068947,818644.7429786248
1740465200204,131.0,15.762232,14.291778324675338,836552.814119953,818645.105344997
