Timestamp_(ms),Type,step,value_1,value_2,value_3,GroundTruth,value_4,value_5,turns,Time_Seconds,Is_Turn,Corrected_Heading
1740465106366,Gyro,18.5,-0.0706335976034643,-77.40518785423251,292.016507479565,0.0,0.0,0.0,0,1740465106.366,False,323.6194863534699
1740465106645,Gyro,19.0,-0.0926837787554745,-83.22456971797875,291.2224689081364,0.0,0.0,0.0,0,1740465106.645,False,324.0963133014454
1740465107025,Gyro,19.5,-0.1078041764998353,-87.57341069107449,290.8497942268681,0.0,0.0,0.0,0,1740465107.025,False,323.6833875345998
1740465107284,Gyro,20.0,-0.1285879118120285,-89.98355035321894,291.23793296501776,0.0,0.0,0.0,0,1740465107.284,False,322.0110792689438
1740465107631,Gyro,20.5,-0.0971277386484133,-90.52795803942357,292.104852363514,0.0,0.0,0.0,0,1740465107.631,False,322.72799800806405
1740465107984,Gyro,21.0,-0.1200799142351408,-88.77014391552689,293.60767915658363,0.0,0.0,0.0,1,1740465107.984,False,323.62240837226614
1740465108164,Gyro,21.5,-0.1340370554848954,-84.38820149885484,296.20835128473004,0.0,0.0,0.0,1,1740465108.164,False,324.4849356689235
1740465108544,Gyro,22.0,-0.1139695957938201,-83.31997309937789,296.5199039228471,0.0,0.0,0.0,1,1740465108.544,False,325.13930239577326
1740465108746,Gyro,22.5,-0.093568646110754,-82.8108418440657,296.27146158221285,0.0,0.0,0.0,1,1740465108.746,False,325.56195863259666
1740465109104,Gyro,23.0,-0.0707264925139906,-83.06570435795912,296.0353551487379,0.0,0.0,0.0,1,1740465109.104,False,325.8181042791765
1740465109444,Gyro,23.5,-0.0640521401532519,-83.21079195684764,295.8576711441612,0.0,0.0,0.0,1,1740465109.444,False,325.8555780735885
1740465109704,Gyro,24.0,-0.0378284969526964,-83.41513713991401,295.69469664922826,0.0,0.0,0.0,1,1740465109.704,False,325.7865018413743
1740465109983,Gyro,24.5,-0.0110127316869236,-84.30181597450046,295.0173805230432,0.0,0.0,0.0,1,1740465109.983,False,325.7286121778469
1740465110264,Gyro,25.0,-0.0303864631599538,-85.51506801274824,294.8275699378847,0.0,0.0,0.0,1,1740465110.264,False,325.878167514353
1740465110463,Gyro,25.5,-0.0385091306020917,-86.23363437920787,295.57202714612265,0.0,0.0,0.0,1,1740465110.463,False,326.63698573626334
1740465110845,Gyro,26.0,-0.0452365930612286,-86.58266643543539,296.91631504412857,0.0,0.0,0.0,1,1740465110.845,False,327.4892112072435
1740465111050,Gyro,26.5,-0.0261146003003592,-87.39444117881555,297.59673645635473,0.0,0.0,0.0,1,1740465111.05,False,328.18161688000805
1740465111464,Gyro,27.0,-0.0391949341836543,-88.35087725596495,298.92156277214417,0.0,0.0,0.0,1,1740465111.464,False,328.5561524506151
1740465111645,Gyro,27.5,-0.0362648426226867,-88.86707480254879,300.0289328211798,0.0,0.0,0.0,1,1740465111.645,False,327.9679250698786
1740465112043,Gyro,28.0,-0.0512227209335724,-89.12395133246052,300.71355826413503,0.0,0.0,0.0,1,1740465112.043,False,327.7981581567829
1740465112223,Gyro,28.5,-0.0576730288338665,-89.62029011964587,300.24685973847306,0.0,0.0,0.0,1,1740465112.223,False,327.61814507097375
1740465112626,Gyro,29.0,-0.0596976858129447,-94.81503405230356,296.3930473193819,0.0,0.0,0.0,1,1740465112.626,False,327.27405306233965
1740465112803,Gyro,29.5,-0.0652789119237651,-96.9346094869227,294.13560196142174,0.0,0.0,0.0,1,1740465112.803,False,326.79009283342396
1740465113203,Gyro,30.0,-0.0688307850437389,-96.53936525531104,292.79148618175526,0.0,0.0,0.0,1,1740465113.203,False,328.7247283321803
1740465113383,Gyro,30.5,-0.0669124037426601,-93.97404541435,292.63062918927403,0.0,0.0,0.0,1,1740465113.383,False,329.75879282486454
1740465113745,Gyro,31.0,-0.1019684661244839,-89.13612345047295,301.78574426282734,0.0,0.0,0.0,1,1740465113.745,False,328.89049180173515
1740465113944,Gyro,31.5,-0.1089261748357293,-82.3280151629608,299.2557833246123,0.0,0.0,0.0,1,1740465113.944,False,326.6367471636976
1740465114343,Gyro,32.0,-0.1040537501286355,-73.93187241075428,298.7487275253315,0.0,0.0,0.0,1,1740465114.343,False,323.40839633421507
1740465114537,Gyro,32.5,-0.1078135950148728,-65.0074503502771,299.7571674534126,0.0,0.0,0.0,1,1740465114.537,False,319.64873163008144
1740465114945,Gyro,33.0,-0.1006842080053927,-54.98838276348415,302.416404236675,0.0,0.0,0.0,1,1740465114.945,False,315.4455867232596
1740465115127,Gyro,33.5,-0.0753585062979723,-44.23068431497168,307.0623649950927,0.0,0.0,0.0,1,1740465115.127,True,311.20323006814783
1740465121860,Gyro,34.0,-0.0495779049118987,-33.500458257763576,312.3733272409247,0.0,0.0,0.0,1,1740465121.86,False,307.37733636533085
1740465121947,Gyro,34.5,-0.0399899726652495,-23.637116265282486,316.8080153187278,0.0,0.0,0.0,1,1740465121.947,False,304.3717844568678
1740465122469,Gyro,35.0,-0.0550283899148408,-14.206102391467624,321.3514172899602,0.0,0.0,0.0,1,1740465122.469,False,303.4258033645775
1740465122564,Gyro,35.5,-0.0516811820632553,-5.0179124401764525,326.4670057763936,0.0,0.0,0.0,1,1740465122.564,True,303.6898758665003
1740465123066,Gyro,36.0,-0.0372003440933307,2.8545123623733075,330.800332553118,0.0,0.0,0.0,1,1740465123.066,False,304.83028034161254
1740465123344,Gyro,36.5,-0.0197305273126836,8.880455583360487,333.85084106243477,0.0,0.0,0.0,1,1740465123.344,False,307.2585834593827
1740465123526,Gyro,37.0,-0.0220267383064724,13.52313874926432,336.570643180774,0.0,0.0,0.0,1,1740465123.526,False,311.4181073110691
1740465124487,Gyro,37.5,-0.0061183412806471,16.814971587610145,337.6722009251349,0.0,0.0,0.0,1,1740465124.487,False,313.2425033205949
1740465124783,Gyro,38.0,0.0083283143994768,17.641354094802026,336.7431545439646,0.0,0.0,0.0,2,1740465124.783,False,314.4356938783455
1740465124885,Gyro,38.5,0.0067648680779665,15.660924462732735,334.84833743379784,0.0,0.0,0.0,2,1740465124.885,False,314.8940680238363
1740465125227,Gyro,39.0,-0.0002205984846355,11.096763369728537,331.4787092285021,0.0,0.0,0.0,2,1740465125.227,False,314.7930839608695
1740465125484,Gyro,39.5,0.0006875485245177,11.497573899084532,333.09451176200974,0.0,0.0,0.0,2,1740465125.484,False,314.3850773608919
1740465125864,Gyro,40.0,0.0036529162280156,11.340178177443477,334.80019717554353,0.0,0.0,0.0,2,1740465125.864,False,313.7916318706082
1740465126105,Gyro,40.5,0.0137113174699246,11.070770450735402,338.0122922850564,0.0,0.0,0.0,2,1740465126.105,False,313.56841478585295
1740465126403,Gyro,41.0,0.0077402144274271,10.964874336318926,341.55820788819466,0.0,0.0,0.0,2,1740465126.403,False,313.39022789684765
1740465126664,Gyro,41.5,0.0079719577373323,11.155791608303234,332.6859945243504,0.0,0.0,0.0,2,1740465126.664,False,313.33181373685676
1740465126864,Gyro,42.0,0.0340332915572078,11.505523071330362,332.7355140961059,0.0,0.0,0.0,2,1740465126.864,False,313.15696204453207
1740465127210,Gyro,42.5,0.0400465954179465,11.639988667603651,332.713838989862,0.0,0.0,0.0,2,1740465127.21,True,312.73300477607484
1740465127506,Gyro,43.0,0.0489438474006205,12.074663937070795,333.093254887214,0.0,0.0,0.0,2,1740465127.506,False,311.83040205384737
1740465127744,Gyro,43.5,0.0671995027484464,12.32094120424961,334.6971620235331,0.0,0.0,0.0,2,1740465127.744,False,310.86150671970483
1740465128009,Gyro,44.0,0.0800098374130425,11.762372493036803,335.56054382150626,0.0,0.0,0.0,2,1740465128.009,False,310.0958738416384
1740465128276,Gyro,44.5,0.0699253274408295,10.67149881981027,335.8690328506007,0.0,0.0,0.0,2,1740465128.276,False,309.8943488163926
1740465128564,Gyro,45.0,0.0612677748389989,9.633482622687035,335.5078294344517,0.0,0.0,0.0,2,1740465128.564,False,310.5313270281608
1740465128823,Gyro,45.5,0.0538240509682896,8.609007948283649,336.0622586106531,0.0,0.0,0.0,2,1740465128.823,False,310.63492895579697
1740465129071,Gyro,46.0,0.0556919130017973,7.357639329780886,336.8892843053245,0.0,0.0,0.0,2,1740465129.071,False,310.7721773151628
1740465129250,Gyro,46.5,0.0271188347960114,6.2934420561620685,337.34984297482436,0.0,0.0,0.0,2,1740465129.25,False,311.1601907035298
1740465129543,Gyro,47.0,0.0100556072953578,5.83988251480869,338.7787318960404,0.0,0.0,0.0,2,1740465129.543,False,311.8833895396217
1740465129930,Gyro,47.5,0.0016109523010787,5.738426098659622,339.3403467865275,0.0,0.0,0.0,2,1740465129.93,False,313.28067364446645
1740465130128,Gyro,48.0,-0.0032572731328865,5.499781178587706,339.87284152010056,0.0,0.0,0.0,2,1740465130.128,False,314.80132086445684
1740465130504,Gyro,48.5,-0.0343609733765932,5.369163348414448,341.02578265118916,0.0,0.0,0.0,2,1740465130.504,False,316.57436092772735
1740465130789,Gyro,49.0,-0.0572372794058509,5.695276434226801,342.540130470738,0.0,0.0,0.0,2,1740465130.789,False,318.30757040724626
1740465131064,Gyro,49.5,-0.0623559210804177,5.980164034586393,345.71269483164025,0.0,0.0,0.0,2,1740465131.064,False,319.8336933438479
1740465131325,Gyro,50.0,-0.0739635613115388,5.959406177345464,347.646671876426,0.0,0.0,0.0,2,1740465131.325,False,320.99022936065546
1740465131604,Gyro,50.5,-0.1043126754991815,6.51594126511924,349.65563803857054,0.0,0.0,0.0,2,1740465131.604,False,321.73155764366976
1740465131784,Gyro,51.0,-0.1234555801771806,7.832244201536356,349.96243177508575,0.0,0.0,0.0,2,1740465131.784,False,322.0348671948984
1740465132024,Gyro,51.5,-0.1173059219051964,9.39396532494268,348.45672977116294,0.0,0.0,0.0,2,1740465132.024,False,321.6999167178736
