Time_relative,compass
9.908,337.0149
9.93,337.86075
9.948,340.19022
9.968,341.38663
9.988,342.3055
10.009,342.50485
10.028,350.96182
10.048,346.63986
10.068,341.65512
10.088,340.5203
10.109,340.6054
10.128,343.00797
10.148,346.97882
10.168,349.67276
10.189,351.2351
10.208,352.1249
10.228,352.05692
10.249,353.09018
10.268,355.7327
10.288,356.69705
10.308,357.11697
10.328,357.69492
10.348,358.19388
10.369,358.62793
10.388,0.15383911
10.408,1.0278015
10.428,1.97052
10.448,2.6435242
10.468,2.709961
10.488,2.576477
10.508,1.7580566
10.528,1.4048462
10.548,359.89484
10.568,358.62164
10.588,357.64594
10.608,357.8708
10.628,358.54083
10.648,0.40618896
10.668,1.8067322
10.688,1.0908203
10.708,359.5865
10.728,359.27707
10.748,0.08709717
10.768,0.5135193
10.788,359.47327
10.808,358.22537
10.828,358.49057
10.848,358.36154
10.868,358.48267
10.888,359.78726
10.908,1.359375
10.928,2.3096008
10.948,0.97106934
10.968,4.4102783
10.988,3.609253
11.008,2.1499634
11.028,2.2625427
11.048,2.3871765
11.07,1.5675659
11.089,1.6972656
11.108,0.17642212
11.128,359.04672
11.15,357.54523
11.169,356.91367
11.188,356.3183
11.208,358.52216
11.231,359.59964
11.248,358.94583
11.269,357.95908
11.288,359.13025
11.313,359.82217
11.328,358.85196
11.348,358.51447
11.368,359.01242
11.392,358.2831
11.408,358.21545
11.429,358.42758
11.449,357.3695
11.471,357.60843
11.488,357.9478
11.509,356.21893
11.528,354.82938
11.548,355.28525
11.568,356.64474
11.589,359.31372
11.609,0.49087524
11.628,0.12988281
11.648,0.15206909
11.669,1.3121643
11.689,2.2336426
11.708,1.7356262
11.73,1.2692261
11.749,1.0412903
11.768,0.777771
11.788,0.9378052
11.812,0.99645996
11.828,2.871338
11.849,2.8750305
11.869,2.5453796
11.888,2.5455933
11.909,2.734436
11.928,2.4462585
11.948,1.5135498
11.968,0.19921875
11.988,358.94406
12.009,357.9919
12.029,357.87964
12.048,357.68436
12.068,357.35944
12.088,357.20786
12.109,357.85312
12.128,357.67166
12.148,357.06775
12.168,357.25
12.188,357.43472
12.208,357.07196
12.229,357.2319
12.248,356.97888
12.268,356.71445
12.288,357.24915
12.308,357.67
12.328,356.6572
12.348,356.54596
12.368,357.25775
12.388,356.83737
12.408,356.25934
12.428,357.0053
12.448,357.64633
12.469,357.90558
12.489,359.26212
12.508,357.6366
12.528,354.90997
12.548,356.1988
12.569,356.7534
12.588,356.2086
12.609,355.5752
12.628,355.13867
12.648,355.64835
12.668,356.04227
12.689,355.99982
12.708,356.3638
12.729,356.36255
12.748,356.13315
12.769,356.11102
12.788,356.50146
12.809,355.85623
12.828,355.68747
12.849,356.32196
12.868,357.03738
12.888,356.98218
12.908,356.81064
12.93,355.89923
12.948,356.47702
12.968,357.28842
12.988,357.50848
13.01,357.1581
13.029,357.3768
13.049,357.91287
13.069,358.19324
13.089,357.4466
13.109,357.19257
13.128,356.545
13.148,355.84775
13.169,354.98605
13.188,353.62442
13.208,353.86154
13.228,354.7072
13.249,355.652
13.268,356.62332
13.288,355.6664
13.308,354.33557
13.329,353.68555
13.348,355.11902
13.368,355.84476
13.388,356.4541
13.409,356.4376
13.428,357.02518
13.448,357.3405
13.468,357.3775
13.489,357.3905
13.508,357.61322
13.528,357.4316
13.548,357.52164
13.568,357.83838
13.588,357.3884
13.608,356.6582
13.628,357.4107
13.648,0.15002441
13.668,2.1508179
13.688,0.5545349
13.708,359.52203
13.728,358.25677
13.748,358.20114
13.768,358.36215
13.788,359.56357
13.808,359.83817
13.828,0.3442688
13.848,1.5091553
13.868,2.1985168
13.888,1.658783
13.908,0.3215332
13.928,0.0579834
13.948,0.16546631
13.968,0.64730835
13.989,0.27383423
14.01,1.0739136
14.028,358.50775
14.048,358.21918
14.068,358.3214
14.088,357.5183
14.108,356.61722
14.128,355.53842
14.148,355.49524
14.168,355.9447
14.188,355.8118
14.208,355.34894
14.229,354.5406
14.249,354.5888
14.268,354.76312
14.288,354.84973
14.31,354.3362
14.329,353.69595
14.348,353.25046
14.368,352.57315
14.39,351.4827
14.408,350.5259
14.429,349.80106
14.448,349.1665
14.471,349.42142
14.489,349.67142
14.508,350.50214
14.528,349.9096
14.551,351.34378
14.568,351.99677
14.588,352.9557
14.608,354.0596
14.628,354.8566
14.648,354.0565
14.668,352.77994
14.688,350.99545
14.708,350.32266
14.728,350.2468
14.748,350.52637
14.768,350.85245
14.789,350.6101
14.808,350.0522
14.828,349.6854
14.848,350.2336
14.869,349.91373
14.888,349.87927
14.908,349.85468
14.928,348.65366
14.949,347.0137
14.968,345.11072
14.988,342.6172
15.008,340.8892
15.029,339.34427
15.048,338.69873
15.068,339.12943
15.088,339.48694
15.108,339.5014
15.128,338.3489
15.148,337.17886
15.168,336.41785
15.189,336.00354
15.208,336.19495
15.228,337.1167
15.248,338.06778
15.268,339.6205
15.288,340.57077
15.308,340.626
15.328,340.04825
15.348,339.92307
15.368,340.81992
15.388,341.23178
15.408,342.09192
15.428,343.57877
15.448,344.48233
15.468,344.34665
15.488,343.21417
15.508,342.24606
15.528,340.66684
15.548,339.5775
15.568,338.5327
15.588,338.64655
15.608,338.98776
15.628,339.3046
15.648,341.38925
15.668,342.12708
15.688,341.94934
15.708,341.96973
15.728,342.20123
15.748,342.86578
15.768,345.4405
15.788,346.78708
15.808,346.68253
15.828,344.57404
15.848,342.2265
15.868,342.28503
15.888,343.34702
15.908,344.37534
15.928,345.13638
15.948,345.06265
15.968,343.50525
15.988,340.67334
16.008,339.04828
16.028,338.92618
16.048,338.95572
16.068,340.4548
16.088,341.5995
16.108,341.35406
16.128,340.47336
16.148,339.24948
16.168,339.31387
16.188,339.33554
16.208,338.65433
16.228,338.69794
16.249,338.49042
16.269,337.93173
16.288,337.65454
16.308,338.08798
16.329,338.94897
16.348,338.9508
16.368,339.6774
16.388,339.2743
16.408,338.6422
16.429,338.29654
16.448,338.47122
16.469,338.35574
16.489,337.86597
16.508,337.39264
16.528,337.4993
16.548,337.32034
16.569,337.98636
16.588,337.70074
16.608,337.69162
16.628,337.79428
16.649,337.45645
16.668,338.00378
16.688,338.19986
16.708,338.203
16.729,337.69412
16.748,337.42963
16.768,337.59174
16.788,337.4682
16.808,336.91397
16.828,337.53925
16.848,336.62408
16.868,336.99167
16.888,336.62842
16.908,337.38504
16.928,337.2753
16.948,337.58658
16.968,337.7777
16.988,337.88867
17.008,338.2365
17.028,337.50192
17.048,337.5803
17.068,338.13498
17.088,338.58646
17.108,338.81998
17.129,338.88748
17.148,338.7225
17.168,338.5945
17.188,339.01022
17.208,338.8305
17.228,338.85025
17.248,338.63943
17.268,337.5917
17.288,338.15063
17.308,338.05478
17.329,338.3285
17.348,338.30328
17.368,337.9697
17.388,338.14642
17.409,337.77176
17.429,338.2796
17.448,338.53784
17.468,338.807
17.488,338.00726
17.508,337.59805
17.528,337.59894
17.548,337.30273
17.568,337.6657
17.588,338.0777
17.608,337.56488
17.628,337.0276
17.648,337.2198
17.668,338.0495
17.688,337.19873
17.708,336.43338
17.729,337.3162
17.748,338.19376
