step,heading,x,y
49.0,6.142402398585093,-5.845106092717096,24.82770474090717
49.5,8.818096007036335,-5.791451811734422,25.173567745769258
50.0,9.515356915487576,-5.733592628249402,25.518752210782456
50.5,8.515965223938819,-5.681762881599364,25.86489333425985
51.0,9.86361553239006,-5.621806659082623,26.209719741864493
51.5,13.900892840841305,-5.537721549885357,26.549469200158814
52.0,13.681509149292546,-5.454937943610669,26.889538126307848
52.5,11.668331457743788,-5.384151833792587,27.232305287303213
53.0,13.18080076619503,-5.304343216479652,27.573084665497664
53.5,17.726552074646275,-5.197777137378034,27.90646683476427
54.0,15.787770383097516,-5.102550937001932,28.24326346592606
54.5,12.620020691548758,-5.02608145309825,28.584807632955016
55.0,13.907415,-4.9419576696942435,28.924547517375135
55.5,13.765224,-4.8586772773276845,29.26449512546684
