Timestamp_(ms),Type,step,value_1,value_2,value_3,GroundTruth,value_4,value_5,turns,Compass_Heading,gyro_magnitude,gyro_roll_mean,gyro_roll_std,heading_diff,heading_roll_std,is_qs_candidate,Quasi_Static_Interval,Quasi_Static_Interval_Number
1740465177223,Compass,97.0,43.2811033391017,-77.8993,277.61218,0.0,0.0,0.0,5,282.1007,291.6250199522722,294.54700035650154,5.93367601164787,2.442573999999979,1.2176133562813691,True,1,3
1740465177503,Compass,97.5,41.72538570822323,-74.04736,286.65286,0.0,0.0,0.0,5,285.95264,292.90775878873336,295.9637925009086,6.916401273699757,3.8519399999999564,1.2372745118352155,True,1,3
1740465177763,Compass,98.0,40.43411886946468,-74.33112,282.0914,0.0,0.0,0.0,5,285.66888,294.9072362409225,297.4519236039718,7.796486869986967,0.2837599999999725,1.2285022132386325,True,1,3
1740465177943,Compass,98.5,39.77200648697523,-74.72676,281.46155,0.0,0.0,0.0,5,285.27324,296.7298687919454,299.16954598045965,8.802634358045083,0.3956400000000144,1.2985080009542196,True,1,3
1740465178307,Compass,99.0,37.78123707609374,-75.4031,281.8452,0.0,0.0,0.0,5,284.5969,299.01508719186,301.0559852983252,9.66922944084416,0.676339999999982,1.1986179891175608,True,1,3
1740465178485,Compass,99.5,37.2918179698979,-72.60039,287.38403,0.0,0.0,0.0,5,287.39961,301.51543097482306,303.0998274290435,10.398263038616683,2.8027099999999905,1.1718005226787234,True,1,3
1740465178824,Compass,100.0,36.47034325996946,-71.08098,292.3298,0.0,0.0,0.0,5,288.91902,304.77041274118034,305.20485314397223,10.881580818443322,1.5194099999999935,1.145873626332525,True,1,3
1740465179023,Compass,100.5,36.06038771976807,-72.459015,294.3593,0.0,0.0,0.0,5,287.540985,306.9685581730367,307.37174707850704,11.03156645295445,1.3780350000000112,1.146282011326256,True,1,3
1740465179384,Compass,101.0,35.81997086123884,-72.247375,302.6197,0.0,0.0,0.0,5,287.75262499999997,310.0408123423872,309.4908817931886,10.842070973731365,0.2116399999999885,1.0935006526534332,True,1,3
1740465179683,Compass,101.5,35.717806746075546,-70.14228,314.2618,0.0,0.0,0.0,5,289.85772,311.9294247134746,311.52430556386446,10.35926815966657,2.1050950000000057,0.9159085413663192,True,1,3
1740465179903,Compass,102.0,35.2439600321814,-70.25828,309.2364,0.0,0.0,0.0,5,289.74172,315.7304987135666,313.3912051066262,9.649744856743835,0.11599999999998545,1.0347564428152989,True,1,3
1740465180123,Compass,102.5,35.08761355521347,-70.57924,312.0106,0.0,0.0,0.0,5,289.42076,318.22102125669335,315.0971647821695,8.710017596587052,0.3209600000000137,1.0111999725809793,True,1,3
1740465180483,Compass,103.0,35.08761355521347,-70.521866,312.32098,0.0,0.0,0.0,5,289.478134,320.747134735187,316.56305939798955,7.588151657682578,0.05737400000003845,0.9984266036072101,True,1,3
1740465180764,Compass,103.5,35.08761355521347,-69.3554,316.22452,0.0,0.0,0.0,5,290.64459999999997,322.22011576870875,317.7431987913843,6.357474527707769,1.1664659999999571,0.9220654766829892,True,1,3
1740465181007,Compass,104.0,36.036331493369296,-68.70775,314.2641,0.0,0.0,0.0,5,291.29224999999997,323.24782579281515,318.6120914354555,5.252418705944652,0.6476499999999987,1.0623054924460789,True,1,3
1740465181205,Compass,104.5,36.91253386385171,-69.7556,315.12378,0.0,0.0,0.0,5,290.2444,323.4120406724953,319.8496600265525,4.436628898302687,1.0478499999999826,1.0764462204823007,True,1,3
1740465181565,Compass,105.0,39.66392016051868,-72.48328,310.44647,0.0,0.0,0.0,5,287.51672,323.40911534887016,321.1458647537546,4.20011928020557,2.727679999999964,1.0272563658242,True,1,3
1740465181863,Compass,105.5,42.0933208033056,-69.37034,316.08337,0.0,0.0,0.0,5,290.62966,322.91072938234896,322.3728143918431,3.9988027799396186,3.1129399999999805,1.2192560306069615,True,1,3
1740465182130,Compass,106.0,43.41001828495353,-68.32783,312.44962,0.0,0.0,0.0,5,291.67217,322.3192639250952,323.210689387066,3.820342837120439,1.042509999999993,1.7822306581973055,True,1,3
1740465182409,Compass,106.5,45.230745212742185,-69.5373,320.69604,0.0,0.0,0.0,5,290.4627,321.0035064291615,323.57629557962264,3.5624321645013026,1.2094700000000103,1.7807983651367894,True,1,3
1740465182683,Compass,107.0,47.17773077681885,-71.36026,308.19037,0.0,0.0,0.0,5,288.63974,319.2175218757434,322.752156546577,5.279709529815191,1.8229599999999664,1.7536332702234376,True,1,3
1740465182963,Compass,107.5,47.6133926143685,-68.08223,308.9501,0.0,0.0,0.0,5,291.91777,317.8038024022491,321.0314858282244,8.616708391681177,3.278030000000001,1.9806520089286181,True,1,3
1740465183184,Compass,108.0,47.660788718295464,-66.06039,309.52994,0.0,0.0,0.0,5,293.93961,325.5320870394912,318.61757335980917,12.255116086016585,2.0218399999999974,3.052997633899707,True,1,3
1740465183503,Compass,108.5,47.660788718295464,-64.80418,314.279,0.0,0.0,0.0,5,295.19582,329.48388325041884,315.8165073428563,15.462848274758064,1.25621000000001,8.085143122473754,False,0,-1
1740465183764,Compass,109.0,48.00004069008692,-60.752674,312.5462,0.0,0.0,0.0,5,299.247326,330.3336692848028,312.7465802737501,18.180185158364598,4.051505999999961,8.078878840741822,False,0,-1
1740465184063,Compass,109.5,48.00004069008692,-53.77824,314.57465,0.0,0.0,0.0,5,306.22176,328.2986236419091,309.5834609649424,20.290520929684693,6.974434000000031,8.0508318979856,False,0,-1
1740465184345,Compass,110.0,47.660788718295464,-53.436493,311.6096,0.0,0.0,0.0,5,306.563507,323.7051141450427,306.437888230913,21.777943234765495,0.341746999999998,8.037111540004556,False,0,-1
1740465184563,Compass,110.5,47.56828972645537,-53.010033,315.26465,0.0,0.0,0.0,5,306.989967,308.38504923950325,303.5266898533395,22.595143596663263,0.4264599999999632,8.035522433635478,False,0,-1
1740465185063,Compass,111.0,47.449191576358814,-47.173424,311.7085,0.0,0.0,0.0,5,312.826576,296.41005499341867,300.9820697981217,22.84969549667894,5.83660900000001,7.98739494314997,False,0,-1
1740465185283,Compass,111.5,46.6222351727156,-35.473663,325.13385,0.0,0.0,0.0,5,324.526337,287.03913876658703,298.90776482839385,22.62472368644217,11.699761000000024,8.043444713238934,False,0,-1
1740465185945,Compass,112.0,41.52883975323655,-3.1215687,349.19897,0.0,0.0,0.0,5,356.8784313,281.3960504182025,297.32536634343285,21.427988931743386,32.352094299999976,7.991053983402737,False,0,-1
1740465186323,Compass,112.5,41.16520640966106,4.6232452,353.33478,0.0,0.0,0.0,5,4.623245199999985,277.360209312278,295.7264613588061,19.680545047752908,7.744813899999997,8.03193668666843,False,0,-1
1740465190283,Compass,113.0,33.29232503520894,10.39556,2.1755981,0.0,0.0,0.0,6,10.395559999999989,275.4639397502329,294.9595523493907,18.41937632888218,5.772314800000004,8.093547655563592,False,0,-1
