Time (s),Original_Heading,Corrected_Heading,Original_East,Original_North,Corrected_East,Corrected_North
131.53,294.35,291.98333333333335,836540.5110113772,818660.7780989174,836540.0877534006,818656.1037853615
131.54,294.38,292.40777777777777,836540.5058379587,818660.7804435067,836540.0825023586,818656.1059505191
131.55,294.41,292.83222222222224,836540.5006657682,818660.7827908044,836540.0772674988,818656.1081545166
131.56,294.44,293.25666666666666,836540.4954948077,818660.7851408105,836540.0720491103,818656.1103972329
131.57,294.45,293.6611111111111,836540.4903242573,818660.7874917196,836540.0668466819,818656.1126767292
131.58,294.43,294.03555555555556,836540.4851528868,818660.7898408229,836540.0616592624,818656.1149901757
131.59,294.4,294.4,836540.4799802883,818660.7921872177,836540.0564866639,818656.1173365705
131.6,294.36,294.36,836540.4748060517,818660.7945300012,836540.0513124274,818656.119679354
131.61,294.33,294.33,836540.4696305892,818660.7968700742,836540.0461369648,818656.122019427
131.62,294.33,294.33,836540.4644551267,818660.7992101472,836540.0409615024,818656.1243595
131.63,294.36,294.36,836540.4592808902,818660.8015529307,836540.0357872657,818656.1267022835
131.64,294.38,294.38,836540.4541074716,818660.80389752,836540.0306138473,818656.1290468727
131.65,294.41,294.41,836540.4489352811,818660.8062448176,836540.0254416567,818656.1313941703
131.66,294.46,294.46,836540.4437651407,818660.8085966274,836540.0202715163,818656.1337459802
131.67,294.51,294.51,836540.4385970563,818660.8109529495,836540.015103432,818656.1361023022
131.68,294.61,294.61,836540.4334330923,818660.8133182876,836540.009939468,818656.1384676404
131.69,294.67,294.67,836540.4282716066,818660.8156890328,836540.0047779822,818656.1408383856
131.7,294.76,294.76,836540.4231138513,818660.8180678812,836539.9996202269,818656.1432172339
131.71,294.89,294.89,836540.417961507,818660.820458426,836539.9944678827,818656.1456077788
131.72,295.06,295.06,836540.4128162783,818660.8228642483,836539.989322654,818656.1480136011
131.73,295.24,295.24,836540.4076786338,818660.8252862227,836539.9841850095,818656.1504355755
131.74,295.63,295.63,836540.4025575938,818660.8277431127,836539.9790639695,818656.1528924655
131.75,295.8,295.8,836540.3974438653,818660.8302151853,836539.973950241,818656.1553645381
131.76,295.96,295.96,836540.3923370606,818660.8327015275,836539.9688434362,818656.1578508803
131.77,296.09,296.09,836540.3872359112,818660.835199451,836539.9637422869,818656.1603488037
131.79,296.21,296.21,836540.377044097,818660.840216655,836539.9535504726,818656.1653660078
131.8,296.46,296.46,836540.3719591845,818660.8427474684,836539.9484655601,818656.1678968212
131.8,296.61,296.61,836540.366880915,818660.8452915859,836539.9433872906,818656.1704409387
131.81,296.76,296.76,836540.3618093228,818660.8478489894,836539.9383156984,818656.1729983422
131.82,296.92,296.92,836540.3567448928,818660.8504205453,836539.9332512683,818656.1755698981
131.83,297.08,297.08,836540.3516876631,818660.8530062336,836539.9281940387,818656.1781555864
131.84,297.39,297.39,836540.346644497,818660.8556192452,836539.9231508727,818656.180768598
131.85,297.53,297.53,836540.3416077317,818660.8582445733,836539.9181141072,818656.1833939261
131.86,297.65,297.65,836540.3365764741,818660.8608804446,836539.9130828497,818656.1860297974
131.87,297.75,297.75,836540.3315498257,818660.8635250919,836539.9080562013,818656.1886744447
131.88,297.84,297.84,836540.326527338,818660.8661776322,836539.9030337136,818656.191326985
131.89,298.0,298.0,836540.321512277,818660.8688441878,836539.8980186526,818656.1939935406
131.9,298.09,298.09,836540.316501411,818660.8715186184,836539.8930077866,818656.1966679712
131.91,298.17,298.17,836540.3114942836,818660.8742000414,836539.8880006592,818656.1993493942
131.92,298.25,298.25,836540.3064909049,818660.8768884528,836539.8829972805,818656.2020378056
131.93,298.35,298.35,836540.3014922261,818660.8795855936,836539.8779986018,818656.2047349464
131.94,298.57,298.57,836540.2965039411,818660.882301908,836539.8730103166,818656.2074512608
131.97,298.7,298.7,836540.2815576132,818660.8904847832,836539.8580639889,818656.215634136
131.97,298.84,298.84,836540.276582184,818660.8932245733,836539.8530885596,818656.2183739261
131.97,298.99,298.99,836540.271613943,818660.8959773809,836539.8481203186,818656.2211267337
131.98,299.15,299.15,836540.2666534096,818660.898744052,836539.8431597851,818656.2238934048
131.99,299.3,299.3,836540.261700137,818660.9015237001,836539.8382065127,818656.2266730529
132.0,299.57,299.57,836540.2567600174,818660.9043266583,836539.8332663929,818656.2294760111
132.01,299.69,299.69,836540.2518257791,818660.9071399576,836539.8283321548,818656.2322893104
132.02,299.82,299.82,836540.2468979375,818660.9099644446,836539.8234043132,818656.2351137974
132.03,299.97,299.97,836540.2419775064,818660.9128018236,836539.818483882,818656.2379511764
132.04,300.15,300.15,836540.2370660128,818660.9156546457,836539.8135723884,818656.2408039984
132.05,300.58,300.58,836540.2321760679,818660.9185442476,836539.8086824436,818656.2436936004
132.06,300.81,300.81,836540.227297763,818660.9214534555,836539.8038041387,818656.2466028082
132.07,301.05,301.05,836540.2224316858,818660.924383071,836539.7989380613,818656.2495324238
132.08,301.28,301.28,836540.217577408,818660.9273321974,836539.7940837835,818656.2524815502
