Time (s),Original_Heading,Improved_Heading,Original_East,Original_North,Improved_East,Improved_North
38.4,5.3,5.3,836560.7721674321,818626.3693198513,836560.7721674321,818626.3693198513
38.41,5.3,5.3,836560.7726920877,818626.3749754761,836560.7726920877,818626.3749754761
38.42,5.31,5.31,836560.7732177309,818626.3806310099,836560.7732177309,818626.3806310099
38.43,5.32,5.32,836560.7737443619,818626.386286451,836560.7737443619,818626.386286451
38.44,5.33,5.33,836560.7742719805,818626.3919418011,836560.7742719805,818626.3919418011
38.46,5.33,5.33,836560.7753272157,818626.4032524992,836560.7753272157,818626.4032524992
38.46,5.32,5.32,836560.7758538467,818626.4089079403,836560.7758538467,818626.4089079403
38.47,5.3,5.3,836560.7763785023,818626.414563565,836560.7763785023,818626.414563565
38.48,5.28,5.28,836560.7769011846,818626.4202193716,836560.7769011846,818626.4202193716
38.49,5.26,5.26,836560.7774218916,818626.4258753619,836560.7774218916,818626.4258753619
38.5,5.22,5.22,836560.7779386499,818626.4315317138,836560.7779386499,818626.4315317138
38.51,5.21,5.21,836560.7784544226,818626.4371881566,836560.7784544226,818626.4371881566
38.52,5.21,5.21,836560.7789701953,818626.4428445994,836560.7789701953,818626.4428445994
38.53,5.22,5.22,836560.7794869536,818626.4485009513,836560.7794869536,818626.4485009513
38.54,5.24,5.24,836560.7800056873,818626.4541571214,836560.7800056873,818626.4541571214
38.55,5.27,5.27,836560.7805273819,818626.4598130209,836560.7805273819,818626.4598130209
38.56,5.29,5.29,836560.7810510519,818626.4654687366,836560.7810510519,818626.4654687366
38.57,5.3,5.3,836560.7815757075,818626.4711243614,836560.7815757075,818626.4711243614
38.58,5.32,5.32,836560.7821023385,818626.4767798024,836560.7821023385,818626.4767798024
38.59,5.31,5.31,836560.7826279817,818626.4824353362,836560.7826279817,818626.4824353362
38.6,5.31,5.31,836560.7831536251,818626.4880908701,836560.7831536251,818626.4880908701
38.61,5.31,5.31,836560.7836792683,818626.493746404,836560.7836792683,818626.493746404
38.62,5.3,5.3,836560.7842039239,818626.4994020287,836560.7842039239,818626.4994020287
38.63,5.3,5.3,836560.7847285796,818626.5050576535,836560.7847285796,818626.5050576535
38.64,5.3,5.3,836560.7852532351,818626.5107132783,836560.7852532351,818626.5107132783
38.65,5.3,5.3,836560.7857778908,818626.5163689031,836560.7857778908,818626.5163689031
38.66,5.29,5.29,836560.7863015608,818626.5220246188,836560.7863015608,818626.5220246188
38.67,5.27,5.27,836560.7868232554,818626.5276805182,836560.7868232554,818626.5276805182
38.68,5.25,5.25,836560.7873429768,818626.5333365995,836560.7873429768,818626.5333365995
38.69,5.22,5.22,836560.7878597351,818626.5389929514,836560.7878597351,818626.5389929514
38.7,5.2,5.2,836560.7883745201,818626.544649483,836560.7883745201,818626.544649483
38.71,5.19,5.19,836560.7888883175,818626.5503061056,836560.7888883175,818626.5503061056
38.72,5.19,5.19,836560.7894021148,818626.5559627282,836560.7894021148,818626.5559627282
38.73,5.2,5.2,836560.7899168999,818626.5616192599,836560.7899168999,818626.5616192599
38.74,5.21,5.21,836560.7904326726,818626.5672757026,836560.7904326726,818626.5672757026
38.75,5.23,5.23,836560.7909504186,818626.5729319636,836560.7909504186,818626.5729319636
38.76,5.25,5.25,836560.79147014,818626.5785880449,836560.79147014,818626.5785880449
38.77,5.27,5.27,836560.7919918345,818626.5842439444,836560.7919918345,818626.5842439444
38.78,5.28,5.28,836560.7925145169,818626.5898997509,836560.7925145169,818626.5898997509
38.79,5.31,5.31,836560.7930401602,818626.5955552848,836560.7930401602,818626.5955552848
38.8,5.34,5.34,836560.7935687645,818626.601210542,836560.7935687645,818626.601210542
38.81,5.41,5.41,836560.7941042783,818626.6068651488,836560.7941042783,818626.6068651488
38.82,5.45,5.45,836560.7946437388,818626.6125193799,836560.7946437388,818626.6125193799
38.83,5.48,5.48,836560.7951861602,818626.6181733283,836560.7951861602,818626.6181733283
38.84,5.49,5.49,836560.7957295693,818626.6238271818,836560.7957295693,818626.6238271818
38.85,5.5,5.5,836560.7962739641,818626.6294809403,836560.7962739641,818626.6294809403
38.86,5.48,5.48,836560.7968163855,818626.6351348887,836560.7968163855,818626.6351348887
38.87,5.47,5.47,836560.7973578193,818626.640788932,836560.7973578193,818626.640788932
38.88,5.46,5.46,836560.7978982674,818626.6464430703,836560.7978982674,818626.6464430703
38.89,5.44,5.44,836560.7984367423,818626.6520973963,836560.7984367423,818626.6520973963
38.9,5.44,5.44,836560.7989752172,818626.6577517224,836560.7989752172,818626.6577517224
38.91,5.43,5.43,836560.7995127043,818626.6634061413,836560.7995127043,818626.6634061413
38.92,5.44,5.44,836560.8000511791,818626.6690604674,836560.8000511791,818626.6690604674
38.93,5.45,5.45,836560.8005906396,818626.6747146986,836560.8005906396,818626.6747146986
38.94,5.46,5.46,836560.8011310877,818626.6803688369,836560.8011310877,818626.6803688369
38.95,5.47,5.47,836560.8016725215,818626.6860228801,836560.8016725215,818626.6860228801
38.96,5.45,5.45,836560.802211982,818626.6916771113,836560.802211982,818626.6916771113
38.97,5.42,5.42,836560.8027484815,818626.6973316252,836560.8027484815,818626.6973316252
38.98,5.41,5.41,836560.8032839954,818626.702986232,836560.8032839954,818626.702986232
38.99,5.4,5.4,836560.8038185216,818626.7086409318,836560.8038185216,818626.7086409318
39.0,5.39,5.39,836560.804352062,818626.7142957244,836560.804352062,818626.7142957244
39.01,5.39,5.39,836560.8048856027,818626.719950517,836560.8048856027,818626.719950517
39.02,5.4,5.4,836560.8054201289,818626.7256052168,836560.8054201289,818626.7256052168
39.03,5.41,5.41,836560.8059556427,818626.7312598235,836560.8059556427,818626.7312598235
39.04,5.42,5.42,836560.8064921423,818626.7369143375,836560.8064921423,818626.7369143375
39.05,5.44,5.44,836560.807030617,818626.7425686636,836560.807030617,818626.7425686636
39.06,5.45,5.45,836560.8075700775,818626.7482228947,836560.8075700775,818626.7482228947
39.07,5.47,5.47,836560.8081115113,818626.753876938,836560.8081115113,818626.753876938
39.08,5.48,5.48,836560.8086539328,818626.7595308864,836560.8086539328,818626.7595308864
39.09,5.49,5.49,836560.8091973419,818626.7651847398,836560.8091973419,818626.7651847398
39.1,5.49,5.49,836560.809740751,818626.7708385934,836560.809740751,818626.7708385934
39.11,5.5,5.5,836560.8102851458,818626.7764923518,836560.8102851458,818626.7764923518
39.12,5.5,5.5,836560.8108295405,818626.7821461103,836560.8108295405,818626.7821461103
39.13,5.5,5.5,836560.8113739353,818626.7877998688,836560.8113739353,818626.7877998688
39.14,5.49,5.49,836560.8119173443,818626.7934537224,836560.8119173443,818626.7934537224
39.15,5.49,5.49,836560.8124607535,818626.7991075758,836560.8124607535,818626.7991075758
39.16,5.48,5.48,836560.813003175,818626.8047615242,836560.813003175,818626.8047615242
39.17,5.47,5.47,836560.8135446088,818626.8104155675,836560.8135446088,818626.8104155675
39.18,5.45,5.45,836560.8140840692,818626.8160697987,836560.8140840692,818626.8160697987
39.19,5.44,5.44,836560.814622544,818626.8217241247,836560.814622544,818626.8217241247
39.2,5.43,5.43,836560.8151600312,818626.8273785437,836560.8151600312,818626.8273785437
39.21,5.43,5.43,836560.8156975184,818626.8330329626,836560.8156975184,818626.8330329626
39.22,5.44,5.44,836560.8162359932,818626.8386872887,836560.8162359932,818626.8386872887
39.23,5.45,5.45,836560.8167754537,818626.8443415199,836560.8167754537,818626.8443415199
39.24,5.45,5.45,836560.8173149142,818626.849995751,836560.8173149142,818626.849995751
39.25,5.45,5.45,836560.8178543746,818626.8556499822,836560.8178543746,818626.8556499822
39.26,5.46,5.46,836560.8183948228,818626.8613041204,836560.8183948228,818626.8613041204
39.27,5.46,5.46,836560.8189352709,818626.8669582587,836560.8189352709,818626.8669582587
39.28,5.46,5.46,836560.8194757191,818626.8726123968,836560.8194757191,818626.8726123968
39.29,5.46,5.46,836560.8200161672,818626.8782665351,836560.8200161672,818626.8782665351
39.3,5.45,5.45,836560.8205556277,818626.8839207663,836560.8205556277,818626.8839207663
