Time (s),Original_Heading,Improved_Heading,Original_East,Original_North,Improved_East,Improved_North
39.31,5.45,5.45,836560.8210950881,818626.8895749975,836560.8210950881,818626.8895749975
39.32,5.45,5.45,836560.8216345486,818626.8952292285,836560.8216345486,818626.8952292285
39.33,5.45,5.45,836560.8221740092,818626.9008834597,836560.8221740092,818626.9008834597
39.34,5.45,5.45,836560.8227134696,818626.9065376909,836560.8227134696,818626.9065376909
39.35,5.47,5.47,836560.8232549034,818626.9121917342,836560.8232549034,818626.9121917342
39.36,5.49,5.49,836560.8237983125,818626.9178455876,836560.8237983125,818626.9178455876
39.37,5.51,5.51,836560.824343695,818626.9234992513,836560.824343695,818626.9234992513
39.38,5.53,5.53,836560.8248910507,818626.9291527249,836560.8248910507,818626.9291527249
39.39,5.56,5.56,836560.8254413654,818626.9348059099,836560.8254413654,818626.9348059099
39.4,5.57,5.57,836560.8259926677,818626.9404589998,836560.8259926677,818626.9404589998
39.41,5.57,5.57,836560.82654397,818626.9461120898,836560.82654397,818626.9461120898
39.42,5.58,5.58,836560.827096258,818626.9517650829,836560.827096258,818626.9517650829
39.43,5.57,5.57,836560.8276475604,818626.9574181729,836560.8276475604,818626.9574181729
39.44,5.56,5.56,836560.8281978751,818626.9630713577,836560.8281978751,818626.9630713577
39.47,5.55,5.55,836560.8298458601,818626.9800312034,836560.8298458601,818626.9800312034
39.47,5.55,5.55,836560.8303951892,818626.9856844852,836560.8303951892,818626.9856844852
39.47,5.55,5.55,836560.8309445182,818626.991337767,836560.8309445182,818626.991337767
39.48,5.56,5.56,836560.8314948329,818626.996990952,836560.8314948329,818626.996990952
39.49,5.59,5.59,836560.8320481086,818627.0026438481,836560.8320481086,818627.0026438481
39.5,5.61,5.61,836560.8326033575,818627.0082965522,836560.8326033575,818627.0082965522
39.51,5.62,5.62,836560.8331595921,818627.0139491595,836560.8331595921,818627.0139491595
39.52,5.62,5.62,836560.8337158267,818627.0196017667,836560.8337158267,818627.0196017667
39.53,5.61,5.61,836560.8342710757,818627.025254471,836560.8342710757,818627.025254471
39.54,5.58,5.58,836560.8348233637,818627.030907464,836560.8348233637,818627.030907464
39.55,5.57,5.57,836560.835374666,818627.0365605539,836560.835374666,818627.0365605539
39.56,5.56,5.56,836560.8359249807,818627.0422137389,836560.8359249807,818627.0422137389
39.57,5.56,5.56,836560.8364752954,818627.0478669237,836560.8364752954,818627.0478669237
39.58,5.57,5.57,836560.8370265977,818627.0535200138,836560.8370265977,818627.0535200138
39.59,5.58,5.58,836560.8375788857,818627.0591730068,836560.8375788857,818627.0591730068
39.6,5.59,5.59,836560.8381321614,818627.0648259029,836560.8381321614,818627.0648259029
39.61,5.59,5.59,836560.838685437,818627.0704787989,836560.838685437,818627.0704787989
39.62,5.58,5.58,836560.839237725,818627.076131792,836560.839237725,818627.076131792
39.63,5.57,5.57,836560.8397890273,818627.081784882,836560.8397890273,818627.081784882
39.64,5.56,5.56,836560.840339342,818627.0874380668,836560.840339342,818627.0874380668
39.65,5.56,5.56,836560.8408896568,818627.0930912518,836560.8408896568,818627.0930912518
39.66,5.57,5.57,836560.8414409591,818627.0987443418,836560.8414409591,818627.0987443418
39.67,5.59,5.59,836560.8419942347,818627.1043972379,836560.8419942347,818627.1043972379
39.68,5.61,5.61,836560.8425494838,818627.110049942,836560.8425494838,818627.110049942
39.69,5.62,5.62,836560.8431057184,818627.1157025493,836560.8431057184,818627.1157025493
