Timestamp_(ms),Type,step,axisZAngle,gyroSumFromstart0,compass,GroundTruth,value_4,value_5,turns,GyroStartByGroundTruth,KalmanFiltered_Heading,EstimatedBias
1740465222905,Gyro,154.5,-0.21230765,23.857454,320.95868,0.0,0.0,0.0,6,23.906217589999983,320.2395769300527,1.017768166646158
1740465222919,Gyro,154.5,-0.11469091,23.972145,321.04333,0.0,0.0,0.0,6,24.020908589999976,320.5647313324648,0.9801207398288256
1740465222927,Gyro,154.5,-0.1163761,24.088522,321.1779,0.0,0.0,0.0,6,24.137285589999976,320.782013522524,0.9584065255305608
1740465222938,Gyro,154.5,-0.11634393,24.204866,321.14835,0.0,0.0,0.0,6,24.253629590000003,320.9593229623562,0.9390885977255035
1740465222950,Gyro,154.5,-0.11789198,24.322758,321.9306,0.0,0.0,0.0,6,24.371521589999986,321.04022886301277,0.9287965162965678
1740465222963,Gyro,154.5,-0.122426614,24.445185,322.72357,0.0,0.0,0.0,6,24.493948590000002,321.81412416531924,0.835300528615408
1740465222970,Gyro,154.5,-0.26185587,24.70704,322.98395,0.0,0.0,0.0,6,24.755803590000028,322.2318279116176,0.7945029806836414
1740465222977,Gyro,154.5,-0.13596494,24.843006,323.2201,0.0,0.0,0.0,6,24.891769590000024,322.5770966033919,0.765064292147338
1740465222987,Gyro,154.5,-0.14377657,24.986782,323.77377,0.0,0.0,0.0,6,25.035545590000027,322.8704300498138,0.7375679629334594
1740465222998,Gyro,154.5,-0.14894997,25.135733,324.1857,0.0,0.0,0.0,6,25.18449658999998,323.28422428866617,0.6954732961741233
1740465223010,Gyro,154.5,-0.14632575,25.282059,324.8759,0.0,0.0,0.0,6,25.330822590000025,324.01728644414885,0.6148441151124178
1740465223016,Gyro,154.5,-0.27684566,25.558905,325.6087,0.0,0.0,0.0,6,25.607668590000003,324.4125764957749,0.5804490808478286
1740465223028,Gyro,154.5,-0.12108325,25.679987,326.00854,0.0,0.0,0.0,6,25.728750590000004,324.9629204903075,0.5238661684578441
1740465223039,Gyro,154.5,-0.10301958,25.783007,325.954,0.0,0.0,0.0,6,25.83177059000002,325.4443081832185,0.47263498987656155
1740465223046,Gyro,154.5,-0.087443456,25.870451,325.62384,0.0,0.0,0.0,6,25.919214590000024,325.67857467613493,0.45154850290360726
1740465223059,Gyro,154.5,-0.07697658,25.947428,325.44846,0.0,0.0,0.0,6,25.996191590000024,325.5681303900302,0.4626601755353793
1740465223065,Gyro,154.5,-0.14757165,26.095,325.3777,0.0,0.0,0.0,6,26.143763589999992,325.51067361277796,0.46724384470572844
1740465223078,Gyro,154.5,-0.0686182,26.163618,325.69708,0.0,0.0,0.0,6,26.212381590000007,325.44524914987045,0.4734120587203846
1740465223090,Gyro,154.5,-0.05987222,26.22349,325.79987,0.0,0.0,0.0,6,26.27225358999999,325.60636356351,0.45468763282518626
1740465223095,Gyro,154.5,-0.05381287,26.277302,325.95853,0.0,0.0,0.0,6,26.326065589999985,325.69472846930813,0.4471403483428967
1740465223108,Gyro,154.5,-0.053847224,26.331148,325.88434,0.0,0.0,0.0,6,26.379911590000006,325.81361821221105,0.4340552778083262
1740465223121,Gyro,154.5,-0.10400824,26.435156,325.8415,0.0,0.0,0.0,6,26.483919590000028,325.82280787973923,0.43218229189309243
1740465223127,Gyro,154.5,-0.04583049,26.480986,326.37222,0.0,0.0,0.0,6,26.529749589999994,325.82993856744145,0.43128512104592626
1740465223138,Gyro,154.5,-0.036029026,26.517015,326.23224,0.0,0.0,0.0,6,26.56577858999998,326.07872103839486,0.4062108524708748
1740465223144,Gyro,154.5,-0.023330774,26.540346,326.38647,0.0,0.0,0.0,6,26.58910959000002,326.148521893419,0.40037515245690436
1740465223158,Gyro,154.5,-0.014794622,26.555141,326.38788,0.0,0.0,0.0,6,26.603904590000013,326.2558026474002,0.38819999553779827
1740465223170,Gyro,154.5,-0.037200287,26.592342,325.9326,0.0,0.0,0.0,6,26.641105589999995,326.10309562682625,0.40486775275292336
1740465223176,Gyro,154.5,-0.025728803,26.61807,326.18805,0.0,0.0,0.0,6,26.66683359000001,326.0226435376207,0.4117379102707814
1740465223190,Gyro,154.5,-0.03169747,26.649769,326.7265,0.0,0.0,0.0,6,26.698532590000013,326.0960646319241,0.4028434682106845
1740465223204,Gyro,154.5,-0.036000665,26.68577,327.09308,0.0,0.0,0.0,6,26.734533590000012,326.555548152079,0.34500894536813925
1740465223209,Gyro,154.5,-0.029002981,26.714773,327.6631,0.0,0.0,0.0,6,26.76353659,326.803831179348,0.32257557474990095
1740465223218,Gyro,154.5,-0.014540862,26.729315,327.76065,0.0,0.0,0.0,6,26.778078590000007,327.2006973704966,0.28677394257861666
1740465223225,Gyro,154.5,0.016993811,26.71232,327.39395,0.0,0.0,0.0,6,26.76108359,327.4593195691885,0.2658626693068106
1740465223236,Gyro,154.5,0.023092514,26.689228,327.00952,0.0,0.0,0.0,6,26.73799158999998,327.42756928611806,0.2685872719747739
1740465223246,Gyro,154.5,0.0372204,26.652008,326.58627,0.0,0.0,0.0,6,26.700771589999988,327.23242652393077,0.2871553140253309
