step,heading,x,y
37.0,331.1828530269888,-14.344958261838066,15.09700020927372
37.5,334.9783058482423,-14.492994748590881,15.414151905769078
38.0,9.72434668168262,-14.433876871914066,15.759123030150851
38.5,7.829529571515877,-14.386197710950253,16.105860247088675
39.0,2.104101927811712,-14.373347372513354,16.455624265824245
39.5,1.3641050229109055,-14.365015316306684,16.805525075825262
40.0,0.7139909980362518,-14.360653906377568,17.15549790063232
40.5,1.570286669140728,-14.351062771772241,17.505366461862078
41.0,2.7604028338705575,-14.334206952952925,17.8549603424892
41.5,351.53239003161787,-14.38574455246366,18.201145084840263
42.0,349.2261101649649,-14.451171332989508,18.54497547382591
42.5,346.84863562031256,-14.530804860328647,18.885795809668018
43.0,344.87225207925616,-14.622145077585072,19.223667034710264
43.5,344.1203597771668,-14.717911185538888,19.560310544327454
44.0,342.6279421367316,-14.822412572251928,19.89434566250375
44.5,340.5806317274176,-14.938780558254198,20.224434274597193
45.0,337.86362887286015,-15.070664878616713,20.548635641100354
45.5,336.0622586106531,-15.212675183571612,20.868531051018373
46.0,336.8892843053245,-15.350053382073941,21.190442887669736
46.5,337.34984297482436,-15.484839557500583,21.51344859491631
47.0,338.7787318960404,-15.611529275305823,21.839714920795075
47.5,9.72434668168262,-15.552411398629008,22.184686045176846
48.0,10.256841415255678,-15.49009003329806,22.52909285031183
48.5,9.239496839547485,-15.433893462122619,22.87455188607168
49.0,8.58355895229954,-15.381655397489506,23.220631623420438
49.5,9.585837606404992,-15.323371639533695,23.565744653540353
50.0,9.349528944393969,-15.266511745083713,23.91109513117595
50.5,9.188209399741709,-15.210624428747899,24.256604332027074
51.0,7.324717429460122,-15.16600205355565,24.603748169120866
51.5,3.6487297187404697,-15.143728294181551,24.953038706701467
52.0,359.2384768952388,-15.148380037149204,25.30300779288961
52.5,354.4819420122407,-15.182035850988072,25.651385872272975
53.0,349.9718974953753,-15.242981766256717,25.99603873445762
53.5,345.88020643388745,-15.328364284470966,26.33546446356989
54.0,340.33935445379876,-15.446121265065388,26.665060115120824
