Timestamp_(ms),Type,step,Magnetic_Field_Magnitude,gyroSumFromstart0,compass,GroundTruth,value_4,value_5,turns,GroundTruthHeadingComputed,GyroStartByGroundTruth
1740465053734,Compass,0.0,69.93129999327911,-1.1079423,5.2860107,0.0,0.0,0.0,0,7.618305671426299,358.8920577
1740465053753,Compass,0.0,69.78247451903665,-0.9963982,6.515625,0.0,0.0,0.0,0,7.618305671426299,359.0036018
1740465053773,Compass,0.0,69.69128352957779,-0.89740527,7.164398,0.0,0.0,0.0,0,7.618305671426299,359.10259473
1740465053793,Compass,0.0,70.00541273715912,-0.82083964,7.0893555,0.0,0.0,0.0,0,7.618305671426299,359.17916036
1740465053814,Compass,0.0,70.21401435967039,-0.8385481,8.672974,0.0,0.0,0.0,0,7.618305671426299,359.1614519
1740465053834,Compass,0.0,70.13446905766094,-0.94851416,7.8200073,0.0,0.0,0.0,0,7.618305671426299,359.05148584
1740465053853,Compass,0.0,70.08755684855907,-1.0363523,7.378784,0.0,0.0,0.0,0,7.618305671426299,358.9636477
1740465053873,Compass,0.0,69.9890895515151,-1.1176093,6.2707214,0.0,0.0,0.0,0,7.618305671426299,358.8823907
1740465053893,Compass,0.0,70.02092321227991,-1.2068986,5.563324,0.0,0.0,0.0,0,7.618305671426299,358.7931014
1740465053913,Compass,0.0,70.21621184776347,-1.2339555,4.3434753,0.0,0.0,0.0,0,7.618305671426299,358.7660445
1740465053933,Compass,0.0,70.5094463972736,-1.2700748,3.702301,0.0,0.0,0.0,0,7.618305671426299,358.7299252
1740465053953,Compass,0.0,70.60005090295616,-1.3160737,3.3997192,0.0,0.0,0.0,0,7.618305671426299,358.6839263
1740465053973,Compass,0.0,70.57301737385188,-1.3629354,2.3127136,0.0,0.0,0.0,0,7.618305671426299,358.6370646
1740465053994,Compass,0.0,70.52675689055891,-1.3768089,1.9595642,0.0,0.0,0.0,0,7.618305671426299,358.6231911
1740465054016,Compass,0.0,70.5930790694102,-1.3362365,3.0277405,0.0,0.0,0.0,0,7.618305671426299,358.6637635
1740465054034,Compass,0.0,70.47098804650038,-1.225659,4.562744,0.0,0.0,0.0,0,7.618305671426299,358.774341
1740465054055,Compass,0.0,70.54619497180553,-0.9843802,6.0669556,0.0,0.0,0.0,0,7.618305671426299,359.0156198
1740465054073,Compass,0.0,70.50922479541241,-0.8504857,7.9360046,0.0,0.0,0.0,0,7.618305671426299,359.1495143
1740465054093,Compass,0.0,70.36631274089896,-0.7494964,7.7390747,0.0,0.0,0.0,0,7.618305671426299,359.2505036
1740465054114,Compass,0.0,70.47542235595328,-0.7081966,6.4668884,0.0,0.0,0.0,0,7.618305671426299,359.2918034
1740465054134,Compass,0.0,70.44351682376455,-0.6616985,6.473572,0.0,0.0,0.0,0,7.618305671426299,359.3383015
1740465054154,Compass,0.0,70.26793031853151,-0.60126656,6.7211304,0.0,0.0,0.0,0,7.618305671426299,359.39873344
1740465054173,Compass,0.0,70.15443343973351,-0.5749364,7.588684,0.0,0.0,0.0,0,7.618305671426299,359.4250636
1740465054193,Compass,0.0,70.09418886398501,-0.5834731,7.1830444,0.0,0.0,0.0,0,7.618305671426299,359.4165269
1740465054214,Compass,0.0,69.87293154362425,-0.5984897,5.3786926,0.0,0.0,0.0,0,7.618305671426299,359.4015103
1740465054234,Compass,0.0,69.8565774014874,-0.5907788,4.376709,0.0,0.0,0.0,0,7.618305671426299,359.4092212
1740465054253,Compass,0.0,69.8693255746039,-0.5176366,4.3257446,0.0,0.0,0.0,0,7.618305671426299,359.4823634
1740465054273,Compass,0.0,69.91328334086448,-0.45602813,5.4618225,0.0,0.0,0.0,0,7.618305671426299,359.54397187
1740465054294,Compass,0.0,69.65935530314647,-0.39663774,6.886444,0.0,0.0,0.0,0,7.618305671426299,359.60336226
1740465054313,Compass,0.0,69.46635314128704,-0.3105124,7.3976135,0.0,0.0,0.0,0,7.618305671426299,359.6894876
1740465054335,Compass,0.0,69.3479113780653,-0.25558898,7.087982,0.0,0.0,0.0,0,7.618305671426299,359.74441102
1740465054353,Compass,0.0,69.2617600574083,-0.20192851,6.986969,0.0,0.0,0.0,0,7.618305671426299,359.79807149
1740465054375,Compass,0.0,69.29942392437329,-0.17948298,6.6586304,0.0,0.0,0.0,0,7.618305671426299,359.82051702
1740465054393,Compass,0.0,69.56106804456067,-0.15465225,6.9990234,0.0,0.0,0.0,0,7.618305671426299,359.84534775
1740465054413,Compass,0.0,69.62199836438192,-0.11544398,7.3549194,0.0,0.0,0.0,0,7.618305671426299,359.88455602
1740465054433,Compass,0.0,69.64334363383195,-0.11694067,7.995941,0.0,0.0,0.0,0,7.618305671426299,359.88305933
1740465054455,Compass,0.0,69.5457920186405,-0.16326393,9.025269,0.0,0.0,0.0,0,7.618305671426299,359.83673607
1740465054474,Compass,0.0,69.71756638394659,-0.2088631,9.477997,0.0,0.0,0.0,0,7.618305671426299,359.7911369
1740465054493,Compass,0.0,69.7757009101306,-0.26497996,8.663574,0.0,0.0,0.0,0,7.618305671426299,359.73502004
1740465054514,Compass,0.0,69.96879884991596,-0.3593957,6.8658447,0.0,0.0,0.0,0,7.618305671426299,359.6406043
1740465054535,Compass,0.0,70.15877640217224,-0.4328544,6.356842,0.0,0.0,0.0,0,7.618305671426299,359.5671456
1740465054553,Compass,0.0,70.22032847580535,-0.53224564,6.5666504,0.0,0.0,0.0,0,7.618305671426299,359.46775436
1740465054573,Compass,0.0,70.2593688147709,-0.69493353,5.639221,0.0,0.0,0.0,0,7.618305671426299,359.30506647
1740465054593,Compass,0.0,69.96525365315271,-0.7991151,4.7390747,0.0,0.0,0.0,0,7.618305671426299,359.2008849
